เวลากรอก,รหัส,ชื่อ,สกุล,ชื่อเล่น,โรงเรียน,ระดับชั้น,สด/เทป,old / new,ฟิสิกส์,เคมี,ชีวะ,เลข,โรงเรียนที่อยาก
30/01/2025 20:14:05,7001,ณัฐชา,วงศ์สุวรรณ,พลอย,สาธิตปทุมวัน,ม.3,สด,new,TRUE,TRUE,TRUE,TRUE,MWIT
30/01/2025 21:02:11,7002,ปัณณ์,อินทรกำแหง,ปัณณ์,บดินทรเดชา,ม.3,สด,new,TRUE,TRUE,FALSE,TRUE,MWIT
31/01/2025 09:45:00,,test,,,,,,,FALSE,FALSE,FALSE,FALSE,
31/01/2025 18:20:44,7003,ชนกันต์,ศรีบุญ,เต้,สวนกุหลาบวิทยาลัย,ม.2,เทป,old,TRUE,FALSE,FALSE,TRUE,TU
01/02/2025 10:05:12,7004,พิมพ์มาดา,จันทร์เพ็ญ,พิม,หอวัง,ม.3,สด,new,FALSE,TRUE,TRUE,FALSE,KVIS
01/02/2025 11:47:30,7005,ธีร์,,ธีร์,สามเสนวิทยาลัย,ม.3,สด ,old,TRUE,TRUE,TRUE,TRUE,MWIT
02/02/2025 08:15:59,7006,กชพร,แซ่ลิ้ม,ใบเฟิร์น,ศึกษานารี,ม.2,เทป,new,FALSE,FALSE,TRUE,FALSE,TU
02/02/2025 19:33:21,7007,ภูมิพัฒน์,คงคา,ภูมิ,,ม.3,สด,new,TRUE,TRUE,FALSE,FALSE,MWIT
2025-02-03 14:22:10,7008,อชิรญา,บุญมาก,ออม,เซนต์โยเซฟคอนเวนต์,ม.2,สด,new,FALSE,TRUE,FALSE,TRUE,KVIS
03/02/2025 20:41:07,7009,กันตพงศ์,พงษ์พันธ์,กัน,สวนกุหลาบวิทยาลัย,3,เทป,old,TRUE,TRUE,TRUE,TRUE,TU
04/02/2025 07:58:33,7010,นภัสสร,อยู่ดี,มายด์,สตรีวิทยา,ม.3,สด,new,TRUE,TRUE,TRUE,FALSE,MWIT
5/2/2568 20:11,7011,วริศ,ธนกุล,วิน,,ม.2,ผสม,new,FALSE,FALSE,FALSE,TRUE,TU
05/02/2025 21:26:48,7012,ญาณิศา,คำแก้ว,ญาญ่า,ราชินี,ม.3,สด ,new,TRUE,FALSE,TRUE,TRUE,MWIT
06/02/2025 12:09:15,7013,ศุภกร,มั่นคง,ต้นกล้า,หาดใหญ่วิทยาลัย,ม.3,เทป,new,TRUE,TRUE,TRUE,TRUE,MWIT
06/02/2025 12:10:02,,,,,,,,,,,,,
07/02/2025 17:44:29,7014,ปุณยวีร์,ทองดี,ปุณ,สาธิต มศว ประสานมิตร,ม.2,สด,new,FALSE,TRUE,TRUE,FALSE,KVIS
2025-02-08 09:30:55,7015,ธนภัทร,ชัยวัฒน์,บอส,เบญจมราชูทิศ นครศรีธรรมราช,ม3,สด,old,TRUE,TRUE,FALSE,TRUE,TU
08/02/2025 22:18:36,7016,พรปวีณ์,สุขใจ,พลอยใส,สตรีวิทยา,ม.3,เทป,new,FALSE,FALSE,TRUE,TRUE,TU
09/02/2025 10:52:14,7017,กฤตภาส,แสงทอง,กาย,มงฟอร์ตวิทยาลัย,ม.3,สด,New,TRUE,TRUE,TRUE,TRUE,MWIT
09/02/2025 16:37:40,7018,ชญานิศ,พูลสวัสดิ์,เกรซ,สาธิตเกษตร,ม.2,สด,new,TRUE,FALSE,FALSE,FALSE,MWIT
10/02/2025 08:29:03,7019,รชต,บัวทอง,โฟกัส,จุฬาภรณราชวิทยาลัย ชลบุรี,ม.3,สด,new,TRUE,TRUE,TRUE,TRUE,KVIS
11/2/2568 19:05,7020,อริสรา,นาคน้อย,น้ำหวาน,,3,เทป,old,FALSE,TRUE,FALSE,FALSE,TU
11/02/2025 20:15:27,7021,ปวริศร์,เพชรรัตน์,เพชร,สวนกุหลาบวิทยาลัย นนทบุรี,ม.2,สด,new,TRUE,FALSE,TRUE,FALSE,MWIT
12/02/2025 13:48:52,7022,ณิชาภัทร,ใจงาม,แพรว,เขมะสิริอนุสสรณ์,ม.3,สด ,old ,TRUE,TRUE,FALSE,TRUE,TU
12/02/2025 21:57:19,7023,จิรัฏฐ์,วีรกุล,เจได,อัสสัมชัญ,ม.3,ผสม,new,FALSE,TRUE,TRUE,TRUE,MWIT
2025-02-13 15:12:41,7024,ขวัญข้าว,รักดี,ข้าวหอม,สตรีศึกษา ร้อยเอ็ด,ม3,เทป,new,TRUE,FALSE,FALSE,TRUE,KVIS
13/02/2025 18:36:08,7025,ธนกฤต,ศิริชัย,ไทเกอร์,แสงทองวิทยา,ม.2,สด,new,TRUE,TRUE,TRUE,TRUE,MWIT
2025-02-14 09:30:00,,ทดสอบระบบ,,แอดมิน,,,,,FALSE,FALSE,FALSE,FALSE,
14/02/2025 11:21:34,7026,พิชญ์สินี,บุญเรือง,มีนา,สาธิตปทุมวัน,ม.3 ,สด,new,TRUE,TRUE,TRUE,FALSE,MWIT
14/02/2025 19:44:56,7027,อธิป,น้อยหน่า,ต้นน้ำ,ระยองวิทยาคม,ม.3,เทป,old,FALSE,FALSE,TRUE,FALSE,TU
