student_key,year,student_code,display_name,grade,school,target_school,live_or_replay,old_new,signup_date,signup_lateness,n_subjects,subject_ids,same_person_key
2568-1001,2568,1001,น้องพลอย 1001,ม.2,สาธิตปทุมวัน,TU,สด,old,2025-06-13,3,4,1;4;5;6,
2568-1002,2568,1002,น้องอิง 1002,ม.1,บดินทรเดชา,MWIT,สด,new,2025-03-20,0,4,1;4;5;6,
2568-1003,2568,1003,น้องพลอย 1003,ม.3,อื่นๆ,MWIT,สด,new,2025-03-03,0,4,1;4;5;6,
2568-1004,2568,1004,น้องพลอย 1004,ม.2,บดินทรเดชา,MWIT,สด,new,2025-03-07,0,4,1;4;5;6,
2568-1005,2568,1005,น้องกันต์ 1005,ม.3,อื่นๆ,TU,เทป,old,2025-03-17,0,4,1;4;5;6,
2568-1006,2568,1006,น้องปราง 1006,ม.3,สาธิตปทุมวัน,TU,สด,new,2025-03-12,0,3,1;4;5,
2568-1007,2568,1007,น้องต้นน้ำ 1007,ม.3,บดินทรเดชา,TU,สด,new,2025-04-20,1,4,1;4;5;6,
2568-1008,2568,1008,น้องพลอย 1008,ม.2,บดินทรเดชา,อื่นๆ,สด,old,2025-04-20,1,4,1;4;5;6,
2568-1009,2568,1009,น้องปราง 1009,ม.2,อื่นๆ,MWIT,สด,new,2025-06-20,3,4,1;4;5;6,
2568-1010,2568,1010,น้องมายด์ 1010,ม.2,อื่นๆ,MWIT,สด,new,2025-04-15,1,4,1;4;5;6,
2568-1011,2568,1011,น้องไอซ์ 1011,ม.1,สาธิตปทุมวัน,อื่นๆ,สด,new,2025-06-02,3,4,1;4;5;6,
2568-1012,2568,1012,น้องโอม 1012,ม.2,อื่นๆ,อื่นๆ,สด,new,2025-03-17,0,2,1;6,
2568-1013,2568,1013,น้องเฟิร์น 1013,ม.2,อื่นๆ,อื่นๆ,สด,old,2025-04-09,1,4,1;4;5;6,
2568-1014,2568,1014,น้องเฟิร์น 1014,ม.2,สวนกุหลาบ,TU,เทป,old,2025-03-06,0,4,1;4;5;6,
2568-1015,2568,1015,น้องกันต์ 1015,ม.2,อื่นๆ,MWIT,เทป,new,2025-03-10,0,2,1;5,
2568-1016,2568,1016,น้องต้นน้ำ 1016,ม.3,อื่นๆ,TU,เทป,new,2025-03-09,0,4,1;4;5;6,
2568-1017,2568,1017,น้องไอซ์ 1017,ม.3,บดินทรเดชา,MWIT,สด,new,2025-03-25,0,4,1;4;5;6,
2568-1018,2568,1018,น้องกันต์ 1018,ม.2,สวนกุหลาบ,MWIT,สด,new,2025-04-13,1,3,1;4;5,
2568-1019,2568,1019,น้องคุน 1019,ม.3,อื่นๆ,TU,เทป,new,2025-05-23,2,4,1;4;5;6,
2568-1020,2568,1020,น้องพลอย 1020,ม.3,อื่นๆ,TU,เทป,new,2025-04-12,1,4,1;4;5;6,
2568-1021,2568,1021,น้องต้นน้ำ 1021,ม.2,บดินทรเดชา,KVIS,สด,old,2025-03-03,0,4,1;4;5;6,
2568-1022,2568,1022,น้องอิง 1022,ม.3,บดินทรเดชา,MWIT,เทป,new,2025-03-09,0,3,1;5;6,
2568-1023,2568,1023,น้องเจได 1023,ม.2,อื่นๆ,MWIT,สด,new,2025-04-19,1,2,1;4,
2568-1024,2568,1024,น้องกันต์ 1024,ม.1,บดินทรเดชา,MWIT,เทป,new,2025-04-20,1,2,1;6,
2568-1025,2568,1025,น้องปราง 1025,ม.1,บดินทรเดชา,KVIS,สด,new,2025-03-25,0,2,4;5,
2568-1026,2568,1026,น้องพลอย 1026,ม.2,บดินทรเดชา,TU,สด,new,2025-03-13,0,4,1;4;5;6,
2568-1027,2568,1027,น้องเฟิร์น 1027,ม.3,สาธิตปทุมวัน,MWIT,สด,new,2025-03-19,0,4,1;4;5;6,
2568-1028,2568,1028,น้องเจได 1028,ม.2,หาดใหญ่วิทยาลัย,อื่นๆ,สด,new,2025-03-19,0,4,1;4;5;6,
2568-1029,2568,1029,น้องอิง 1029,ม.1,อื่นๆ,KVIS,สด,new,2025-03-25,0,4,1;4;5;6,
2568-1030,2568,1030,น้องต้นน้ำ 1030,ม.2,หาดใหญ่วิทยาลัย,MWIT,สด,new,2025-03-19,0,4,1;4;5;6,
2568-1031,2568,1031,น้องปราง 1031,ม.1,อื่นๆ,MWIT,สด,new,2025-03-09,0,4,1;4;5;6,
2568-1032,2568,1032,น้องปราง 1032,ม.2,หาดใหญ่วิทยาลัย,MWIT,สด,new,2025-03-12,0,4,1;4;5;6,
2568-1033,2568,1033,น้องภีม 1033,ม.3,อื่นๆ,MWIT,สด,new,2025-03-24,0,2,1;4,
2568-1034,2568,1034,น้องพลอย 1034,ม.2,อื่นๆ,TU,สด,new,2025-04-04,1,3,1;5;6,
